Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Святослав Беляев Артёмович, Дата Рождения: 1989-12-08, Место рождения Смоленск, Номер паспорта: 2605030
Имя: Трофим Коровяк Ярославович, Дата Рождения: 1975-11-12, Место рождения Пинск, Номер паспорта: 0909067
Имя: Феликс Дроздов Михайлович, Дата Рождения: 1981-01-08, Место рождения Джезказган, Номер паспорта: 6310002
Имя: Денис Семёнов Львович, Дата Рождения: 1995-06-06, Место рождения Ханты-Мансийск, Номер паспорта: 1204011
Имя: Болеслав Котов Александрович, Дата Рождения: 1985-12-21, Место рождения Орск, Номер паспорта: 2402014
Имя: Георгий Саксаганский Александрович, Дата Рождения: 1989-10-04, Место рождения Ухта, Номер паспорта: 5900029
Имя: Пётр Красинец Сергеевич, Дата Рождения: 1977-02-02, Место рождения Уни, Номер паспорта: 2811056
Имя: Ленар Савельев Васильевич, Дата Рождения: 1982-12-22, Место рождения Гурьев, Номер паспорта: 5606049
Имя: Никита Потапов Максимович, Дата Рождения: 1975-11-12, Место рождения Витебск, Номер паспорта: 1204011
Имя: Никита Гаврилов Петрович, Дата Рождения: 1978-05-26, Место рождения Кзыл-Орда, Номер паспорта: 1506060
Имя: Харитон Красинец Эдуардович, Дата Рождения: 1976-12-03, Место рождения Тихвин, Номер паспорта: 2010011
Имя: Харитон Меркушев Платонович, Дата Рождения: 1992-03-07, Место рождения Лазоревское, Номер паспорта: 4604015
Имя: Геннадий Андреев Сергеевич, Дата Рождения: 1987-12-11, Место рождения Ставрополь, Номер паспорта: 3607053
